상품명,은행,가입최소한도,가입최대한도,가입방법,대상
e-그린세이브예금,SC제일은행,1000000,500000000,"인터넷뱅킹, 모바일뱅킹",개인(개인사업자포함)
우리 첫거래우대 정기예금,우리은행,1000000,50000000,스마트폰(스마트폰전용),실명의 개인 (1인 1계좌)
올해는예금[시즌3],경남은행,1000000,1000000000,"BNK경남은행 모바일뱅킹, 인터넷뱅킹, 모바일웹, 고객센터",실명의 개인
JB 1·2·3 정기예금,전북은행,1000000,500000000,"인터넷뱅킹, 모바일뱅킹, 모바일Web",실명의 개인 및 개인사업자(임의단체 제외)/(1인 다계좌)
Sh첫만남우대예금,SH수협은행,1000000,10000000,"비대면(인터넷뱅킹, 스마트폰뱅킹)",실명의 개인(1인 1계좌)
더(The) 특판 정기예금,부산은행,1000000,1000000000,"개인 인터넷뱅킹, 모바일뱅킹, 비대면영업팀",실명의 개인
IBK D-Day통장(단기중금채),IBK기업은행,1000000,200000000,"i-ONE뱅크, 챗봇","실명의 개인 (단, 개인사업자 및 외국인비거주자는 제외이며, 1인당 1계좌 신규 가능)"
헤이(Hey)정기예금,SH수협은행,100000,200000000,"스마트폰뱅킹, 인터넷뱅킹",실명의 개인
IBK첫만남통장(중금채),IBK기업은행,1000000,10000000,i-ONE뱅크,"실명의 개인(개인사업자, 외국인비거주자 제외), 1인당 1계좌 가입가능"
IBK W통장(거치식),IBK기업은행,1000000,30000000,"영업점, 인터넷뱅킹, i-ONE뱅크","실명의 개인(개인사업자 제외), 1인당 30백만원까지 계좌수 제한없음"
IBK늘푸른하늘통장(거치식),IBK기업은행,1000000,1000000000,"영업점, 인터넷뱅킹, 텔레뱅킹(IBK고객센터), i-ONE뱅크","실명의 개인 (단, 개인사업자 제외), 1인 다수계좌 가입가능"
BNK코리보연동정기예금,경남은행,1000000,1000000000,"영업점, 인터넷뱅킹, 모바일뱅킹, 고객센터","제한없음 (단, 국가 및 지방자치단체 가입 불가)"
SC제일 친환경비움예금,SC제일은행,1000000,500000000,"영업점, 모바일뱅킹","실명의 개인 및 개인사업자 (외국인, 비거주자, 법인 제외)"
NH올원e예금,NH농협은행,100000,1000000000,비대면채널,개인
DGB주거래우대예금(첫만남고객형),DGB대구은행,1000000,1000000000,"영업점, 인터넷뱅킹, iM뱅크",개인 및 개인사업자
1석7조통장(중금채),IBK기업은행,1000000,1000000000,"인터넷뱅킹, 텔레뱅킹(IBK고객센터), i-ONE뱅크",실명의 개인(개인사업자 제외)
IBK변동금리예금&중금채(중금채),IBK기업은행,5000000,5000000,"영업점, 인터넷뱅킹, i-ONE뱅크",실명의 개인
행운박스예금,광주은행,1000000,100000000,"영업점, 모바일웹뱅킹, 스마트",실명의 개인
JB다이렉트예금,전북은행,1000000,1000000000,"인터넷뱅킹, 모바일뱅킹, 모바일WEB",실명의 개인 및 개인사업자(임의단체 제외)
BNK주거래우대정기예금,경남은행,1000000,500000000,"BNK경남은행 모바일뱅킹, 인터넷뱅킹, 모바일웹",개인 및 개인사업자
NH고향사랑기부예금,NH농협은행,1000000,1000000000,"영업점, 비대면 채널","개인, 법인(단, 국가, 지방자치단체 제외)"
굿스타트예금,광주은행,1000000,100000000,"스마트뱅킹, 모바일웹",실명의 개인(1인 1계좌)
Tops CD연동 정기예금,신한은행,3000000,1000000000,영업점,제한없음
국민수퍼정기예금(CD금리연동형),KB국민은행,1000000,1000000000,"은행창구 방문, 고객센터",제한없음
IBK평생한가족통장(중금채),IBK기업은행,1000000,100000000,"영업점, 인터넷뱅킹, i-ONE뱅크",실명의 개인(개인사업자 제외)
IM스마트예금,DGB대구은행,1000000,1000000000,"인터넷뱅킹, 스마트뱅크, iM뱅크, 모바일웹",개인
DGB함께예금,DGB대구은행,1000000,1000000000,"영업점, 인터넷뱅킹, 스마트뱅크, iM뱅크, 모바일웹",개인 및 개인사업자
WON플러스 예금,우리은행,10000,1000000000,"인터넷, 스마트폰, 전화",실명의 개인
IBK변동금리예금&중금채(실세금리정기예금)[만기지급식],IBK기업은행,5000000,1000000000,"영업점, 인터넷뱅킹, i-ONE뱅크",실명의 개인
IBK변동금리예금&중금채(실세금리정기예금)[이자지급식],IBK기업은행,5000000,1000000000,"영업점, 인터넷뱅킹, i-ONE뱅크",실명의 개인
직장인우대예금,DGB대구은행,1000000,1000000000,"영업점, 인터넷뱅킹, iM뱅크",개인
하나의 정기예금,하나은행,1000000,1000000000,스마트폰뱅킹(하나원큐),실명의 개인 또는 개인사업자
KB Star 정기예금,KB국민은행,1000000,1000000000,"KB스타뱅킹, 인터넷뱅킹, 고객센터 (영업점 가입 불가)",개인 및 개인사업자
LIVE정기예금,부산은행,10000000,1000000000,영업점 창구,제한없음
IBK평생한가족통장(정기예금),IBK기업은행,1000000,100000000,"영업점, 인터넷뱅킹, 텔레뱅킹(IBK고객센터), i-ONE뱅크",실명의 개인(개인사업자 제외)
DGB주거래우대예금(단골고객형),DGB대구은행,1000000,1000000000,"영업점, 인터넷뱅킹, iM뱅크",개인 및 개인사업자
JB Smart-App 예금,전북은행,1000000,30000000,스마트뱅킹,실명의 개인 및 개인사업자
쏠편한 정기예금,신한은행,10000,1000000000,"인터넷, 모바일",만 14세 이상 개인고객
"안녕,독도야예금",DGB대구은행,1000000,50000000,"영업점, 아이M뱅크, iM뱅크, 모바일웹",개인
J 정기예금,제주은행,300000,1000000000,"디지털 채널(jBANK, jWEB, 인터넷뱅킹)",제주은행 디지털 채널을 통해 가입한 실명의 개인
Sh해양플라스틱Zero!예금,SH수협은행,1000000,500000000,"스마트폰뱅킹, 인터넷뱅킹, 영업점",실명의 개인 (다계좌 가능하나 합산하여 5억원 이내)
NH All100플랜 연금예금,NH농협은행,1000000,1000000000,영업점,개인
스마트모아Dream정기예금,광주은행,1000000,1000000000,"인터넷뱅킹, 스마트뱅킹, 모바일뱅킹",실명의 개인 및 개인사업자
1석7조통장(정기예금),IBK기업은행,1000000,1000000000,"인터넷뱅킹, 텔레뱅킹(IBK고객센터), i-ONE뱅크","실명의 개인(단, 개인사업자 제외)"
NH왈츠회전예금II,NH농협은행,3000000,1000000000,"영업점, 인터넷/스마트뱅킹",개인
